run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_993c4eec,unimodal,30.0,0.25,0.15,1.8,0.5,Duran,0.06746666666666669,2000,5,15.021032379268012,4.230046917454484,0.0932629852041798,95,42,42,0,0,0.0475,980330
run_f4ef3e46,unimodal,79.0,0.0,0.0,1.8,0.0,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_63b18698,unimodal,79.0,0.0,0.0,1.8,0.0,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_a2af09ab,unimodal,79.0,0.0,0.0,1.8,0.25,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_78dcf0fc,unimodal,79.0,0.0,0.0,1.8,0.25,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_5d9595ba,unimodal,79.0,0.0,0.0,1.8,0.5,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_9e1dabde,unimodal,79.0,0.0,0.0,1.8,0.5,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_e42c01ab,unimodal,79.0,0.0,0.1,1.8,0.0,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_ee3c1da2,unimodal,79.0,0.0,0.1,1.8,0.0,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_60e85da8,unimodal,79.0,0.0,0.1,1.8,0.25,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_8de09d28,unimodal,79.0,0.0,0.1,1.8,0.25,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_35b30884,unimodal,79.0,0.0,0.1,1.8,0.5,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_5a9407dd,unimodal,79.0,0.0,0.1,1.8,0.5,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_13d93012,unimodal,79.0,0.0,0.15,1.8,0.0,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_213a3bc2,unimodal,79.0,0.0,0.15,1.8,0.0,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_924f285c,unimodal,79.0,0.0,0.15,1.8,0.25,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_228c8ee7,unimodal,79.0,0.0,0.15,1.8,0.25,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_6f78dc8e,unimodal,79.0,0.0,0.15,1.8,0.5,Hersen,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_4bf07a1a,unimodal,79.0,0.0,0.15,1.8,0.5,Duran,0.125,538,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_3d1f0972,unimodal,79.0,0.1,0.0,1.8,0.0,Hersen,0.2810464135021097,2000,183,88.02969272030107,29.10025577023151,0.07934555721607552,1256,1370,763,587,20,0.628,980330
